,treatment,year 0,year 6,stumps0,stumps6,difference,stumps_diff
Plot 1,Gap,81.5,549.5,11.5,117.5,468.0,106.0
Plot 2,Control,84,84.8,5,17,0.7999999999999972,12
Plot 3,Radial,261.5,2132.7,16.5,144.5,1871.1999999999998,128.0
Plot 4,Control,136.5,147,15.5,12,10.5,-3.5
Plot 5,Radial,189.5,510.5,8,89.5,321.0,81.5
Plot 6,Control,122.5,116,7.5,23,-6.5,15.5
Plot 7,Radial,280,728.9,6,125,448.9,119
Plot 8,Gap,239,540.5,10,112,301.5,102
Plot 9,Radial,141.5,185,15,66.5,43.5,51.5
Plot 10,Gap,155.7,624.5,8.5,195.5,468.8,187.0
Plot 11,Control,222.5,273.7,25,54.4,51.19999999999999,29.4
Plot 12,Gap,,810.2,,210,,
