Species Name,Life Form,Shade Tolerant,Weed
Stellaria spp.,Medium Forb/Herb,True,False
Rytidosperma spp.,Small Tufted grass/sedge,False,False
Rytidosperma caespitosum,Small Tufted grass/sedge,False,False
Rytidosperma geniculata,Small Tufted grass/sedge,True,False
Rytidosperma pencilata,Small Tufted grass/sedge,False,False
Senecio spp,Large Forb/Herb,False,False
Senecio phelleus,Large Forb/Herb,False,False
Senecio quadridentatus,Large Forb/Herb,False,False
Wahlenbergia spp,Large Forb/Herb,False,False
Wahlenbergia gracilis,Large Forb/Herb,False,False
Aira spp.,Small Non-tufted grass/sedge,False,True
Bulbine bulbosa,Medium Forb/Herb,True,False
Cotula australis,Medium Forb/Herb,False,False
Crassula spp,Prostrate or Mat-forming Forb/Herb,False,False
Crassula sieberiana,Prostrate or Mat-forming Forb/Herb,False,False
Dichondra repens,Prostrate or Mat-forming Forb/Herb,True,False
Einadia nutans,Medium Forb/Herb,False,False
Lomandra longifolia,Large Forb/Herb,True,False
Euchiton spp,Medium Forb/Herb,False,False
Euchiton involucratis,Medium Forb/Herb,False,False
Microlaena stipoides,Medium Non-tufted grass/sedge,True,False
Lachnagrostis spp.,Medium Tufted grass/sedge,False,False
Hypochaeris spp,Medium Forb/Herb,False,True
Hypochaeris radicata,Medium Forb/Herb,False,True
Pteridium esculentum,Non-tufted Ground Fern,False,False
Lagenophora spp,Medium Forb/Herb,True,False
Hydrocotyle spp,Prostrate or Mat-forming Forb/Herb,False,False
Conyza sumatrensis,Large Forb/Herb,False,True
conyza sumatrensis,Large Forb/Herb,False,True
Cerastium glomeratum,Medium Forb/Herb,False,True
Austrostipa spp,Large Tufted grass/sedge,False,False
Stuartina muelleri,Medium Forb/Herb,False,False
Briza minor,Small Tufted grass/sedge,False,True
Daucus glochidiatus,Medium Forb/Herb,False,False
Lomandra filiformis,Medium Forb/Herb,True,False
Glycine clandestina,Climber,True,False
Hypochaeris glabra,Medium Forb/Herb,False,True
Imperata cylindrica,Medium Tufted grass/sedge,False,False
Poranthera microphylla,Medium Forb/Herb,False,False
Senecio tenuiflorus,Large Forb/Herb,False,False
Senecio pinnatifolius,Large Forb/Herb,False,False
Austrostipa scabra,Medium Tufted grass/sedge,False,False
Gnaphalium sp,Medium Forb/Herb,False,True
Hypericum gramineum,Medium Forb/Herb,False,False
Centaurium erythraea,Medium Forb/Herb,False,True
Pterostylis spp,Medium Forb/Herb,True,False
Luzula meridionalis,Small Tufted grass/sedge,False,False
Poa labillardieri,Medium Tufted grass/sedge,False,False
Poaceae,Medium Tufted grass/sedge,False,False
Oxalis (native),Medium Forb/Herb,False,False
Vulpia sp.,Small Tufted grass/sedge,False,True
Arthropodium strictum,Large Forb/Herb,False,False
Poa spp,Medium Tufted grass/sedge,False,False
Poa sieberiana,Medium Tufted grass/sedge,False,False
Oxalis sp 2.,Medium Forb/Herb,False,False
Sonchus spp,Large Forb/Herb,False,True
Sonchus oleraceus,Large Forb/Herb,False,True
Arthropodium spp,Large Forb/Herb,False,False
Arthropodiumn minus,Large Forb/Herb,False,False
Arthropodium minus,Large Forb/Herb,False,False
Carex spp,Small Tufted grass/sedge,True,False
Carex breviculmis,Small Tufted grass/sedge,True,False
Diuris sulphurea,Medium Forb/Herb,False,False
Thelymitra spp,Medium Forb/Herb,False,False
Tricoryne elatior,Large Forb/Herb,False,False
Tricoryne sp.,Large Forb/Herb,False,False
Geranium sp.,Medium Forb/Herb,True,False
Schoenus spp,Small Tufted grass/sedge,True,False
Schoenus apogon,Small Tufted grass/sedge,True,False
Hydrocotyle foveolata,Medium Forb/Herb,False,False
Anagallis arvensis,Medium Forb/Herb,False,True
Ranunculus pimpinellifolius,Medium Forb/Herb,False,False
Oxalis sp (weed),Prostrate or Mat-forming Forb/Herb,False,True
Baumea sp,Shrub,False,False
Cheilanthes austrotenuifolia,Tufted Ground Fern,True,False
Geranium spp,Medium Forb/Herb,True,False
Cymbonotis sp,Prostrate or Mat-forming Forb/Herb,False,False
Acianthus sp.,Medium Forb/Herb,True,False
Erhartia erecta,Small Tufted grass/sedge,False,True
Entolasia marginata,Medium Non-tufted grass/sedge,False,False
Juncus spp,Large Tufted grass/sedge,False,False
Corybas sp.,Small Forb/Herb,True,False
Dichelachne crinita,Medium Tufted grass/sedge,False,False
Acrotriche serrulata,Prostrate Shrub,True,False
Laxmannia gracilis,Medium Forb/Herb,False,False
Bossiaea prostrata,Prostrate Shrub,True,False
Trifolium sp.,Medium Forb/Herb,False,True
Poa sp (green hairy),Medium Non-tufted grass/sedge,False,False
Kennedia prostrata,Prostrate or Mat-forming Forb/Herb,True,False
Dipodium spp,Large Forb/Herb,False,False
Dipodium punctatum,Large Forb/Herb,True,False
Desmodium gunnii,Prostrate or Mat-forming Forb/Herb,False,False
Scuttelaria sp,Medium Forb/Herb,True,False
Themeda triandra,Medium Tufted grass/sedge,False,False
Pimelea humilis,Small Shrub,False,False
Arthropodium milleflorum,Large Forb/Herb,False,False
Comesperma volubile,Climber,True,False
Gamochaeta purpurea,Medium Forb/Herb,False,True
Brachyscome spp.,Large Forb/Herb,False,False
Burchardia umbellata,Medium Forb/Herb,False,False
Stellaria media,Medium Forb/Herb,False,False
Astroloma humifusum,Prostrate Shrub,True,False
Elymus repens???,Medium Tufted grass/sedge,False,False
Elymus seaber,Medium Tufted grass/sedge,False,False
Dianella revoluta s.l.,Medium Forb/Herb,False,False
Veronica spp,Medium Forb/Herb,False,False
Veronica plebeia,Medium Forb/Herb,True,False
Cirsium vulgare,Large Forb/Herb,False,True
Clematis microphylla,Climber,True,False
Medicago spp.,Medium Forb/Herb,False,True
Solanum nigrum,Large Forb/Herb,False,False
Thysanotus patersonii,Climber,False,False
Lomandra glauca,Medium Forb/Herb,False,False
Holcus lanatus,Large Tufted grass/sedge,False,True
Isolepsis marginata,Tiny Tufted grass/sedge,False,False
Gamochaeta sp,Medium Forb/Herb,False,True
Gahnia radula,Large Tufted grass/sedge,True,False
Pterostylis pedunculata,Medium Forb/Herb,True,False
Acaena novae-zelan,Medium Forb/Herb,True,False
Asperula spp.,Medium Forb/Herb,True,False
Dactylis glomerata,Medium Tufted grass/sedge,False,False
Cassinia aculata,Shrub,True,False
Dillwynia glaberrima,Small Shrub,False,False
Pterostylis concinna,Medium Forb/Herb,True,False
Linaria pelisseriana,Medium Forb/Herb,False,True
Solanum sp.,Medium Forb/Herb,True,False
Juncus bufonis,Small Tufted grass/sedge,False,False
Galium sp,Scrambler,False,False
Juncus pallidus,Large Tufted grass/sedge,False,False
Lolium perenne,Medium Tufted grass/sedge,False,True
Lolium spp.,Medium Tufted grass/sedge,False,False
Sporobolus sp.,Medium Tufted grass/sedge,False,True
Eragrostis sp. (Native),Small Tufted grass/sedge,False,False
Ranunculus pimelo sp pimelo,Medium Forb/Herb,False,False
Trifolium repens,Large Forb/Herb,False,True
Bursaria spinosa,Large Shrub to Medium Tree,False,False
Solenogyne sp.,Medium Forb/Herb,False,False
Carpobrotus spp.,Prostrate or Mat-forming Forb/Herb,False,False
Acetosella vulgaris,Medium Forb/Herb,False,True
Centrolepsis strigosa,Tiny Tufted grass/sedge,False,False
Rumex sp.,Large Forb/Herb,False,True
Kunzea ericoides,Shrub,True,False
Viola betonicifolia,Medium Forb/Herb,True,False
Solenogyne dominii,Small Forb/Herb,False,False
Viola sp.,Medium Forb/Herb,True,False
Viola hederaceae,Medium Forb/Herb,True,False
Plantago coronopus,Medium Forb/Herb,False,False
Wurmbea dioica,Medium Forb/Herb,False,False
Opercularia varia,Prostrate or Mat-forming Forb/Herb,False,False
Acacia mearnsii,Large Shrub to Medium Tree,True,False
Petrorhagia dubia,Medium Forb/Herb,False,True
Petrorhagia spp.,Medium Forb/Herb,False,False
Acacia melanoxylon,Large Shrub to Medium Tree,True,False
Acacia implexa,Large Shrub to Medium Tree,True,False
Cassinia longifolia,Shrub,True,False
Wahlenbergia gracilenta,Medium Forb/Herb,True,False
Microtis sp.,Large Forb/Herb,False,False
Dianella caerulea,Medium Forb/Herb,True,False
Mentha australis,Medium Forb/Herb,False,True
Exocarpus cupressiformis,Large Shrub to Medium Tree,True,False
Cyperus spp,Medium Tufted grass/sedge,False,False
Juncus subsecundus,Medium Tufted grass/sedge,False,False
Centella cordifolia,Medium Forb/Herb,False,False
Acaena ovina,Large Forb/Herb,True,False
Lobelia spp.,Medium Forb/Herb,False,False
Phalaris spp.,Large Non-tufted grass/sedge,False,True
CWD,,,
Leaf Litter,,,
Moss/Lichen,,,
Cardamine sp.,,True,
Bare Earth,,,
Cerastium sp.,,True,
Unknown Species,,,
Eucalyptus tereteticornis,,,
Dead Standing Timber,,,
Standing dead timber,,,
MoSs/Lichen,,,
Asteraceae,,,
