"","x"
"1","Stellaria spp."
"2","Rytidosperma spp."
"3","Senecio spp"
"4","Wahlenbergia spp"
"5","CWD"
"6","Leaf Litter"
"7","Moss/Lichen"
"8","Aira spp."
"9","Bulbine bulbosa"
"10","Cardamine sp."
"11","Cotula australis"
"12","Crassula spp"
"13","Dichondra repens"
"14","Einadia nutans"
"15","Lomandra longifolia"
"16","Bare Earth"
"17","Euchiton spp"
"18","Microlaena stipoides"
"19","Lachnagrostis spp."
"20","Hypochaeris spp"
"21","Pteridium esculentum"
"22","Lagenophora spp"
"23","Hydrocotyle spp"
"24","Conyza sumatrensis"
"25","Cerastium glomeratum"
"26","Austrostipa spp"
"27","Stuartina muelleri"
"28","Briza minor"
"29","Daucus glochidiatus"
"30","Lomandra filiformis"
"31","Glycine clandestina"
"32","Hypochaeris glabra"
"33","Imperata cylindrica"
"34","Poranthera microphylla"
"35","Rytidosperma caespitosum"
"36","Rytidosperma geniculata"
"37","Senecio tenuiflorus"
"38","Senecio pinnatifolius"
"39","Crassula sieberiana"
"40","Austrostipa scabra"
"41","Gnaphalium sp"
"42","Hypericum gramineum"
"43","Cerastium sp."
"44","Centaurium erythraea"
"45","Unknown Species"
"46","Pterostylis spp"
"47","Luzula meridionalis"
"48","Poa labillardieri"
"49","Oxalis (native)"
"50","Hypochaeris radicata"
"51","Vulpia sp."
"52","Arthropodium strictum"
"53","Poa spp"
"54","Oxalis sp 2."
"55","Sonchus spp"
"56","Arthropodium spp"
"57","Carex spp"
"58","Diuris sulphurea"
"59","Thelymitra spp"
"60","Tricoryne elatior"
"61","Geranium sp."
"62","Schoenus spp"
"63","Hydrocotyle foveolata"
"64","Anagallis arvensis"
"65","Senecio phelleus"
"66","Ranunculus pimpinellifolius"
"67","Oxalis sp (weed)"
"68","Baumea sp"
"69","Cheilanthes austrotenuifolia"
"70","Geranium spp"
"71","Cymbonotis sp"
"72","Arthropodiumn minus"
"73","Acianthus sp."
"74","Erhartia erecta"
"75","Eucalyptus tereteticornis"
"76","Entolasia marginata"
"77","Juncus spp"
"78","Corybas sp."
"79","Euchiton involucratis"
"80","Poa sieberiana"
"81","Dichelachne crinita"
"82","Acrotriche serrulata"
"83","Laxmannia gracilis"
"84","Bossiaea prostrata"
"85","Trifolium sp."
"86","Poa sp (green hairy)"
"87","Kennedia prostrata"
"88","conyza sumatrensis"
"89","Dipodium spp"
"90","Desmodium gunnii"
"91","Dead Standing Timber"
"92","Scuttelaria sp"
"93","Dipodium punctatum"
"94","Themeda triandra"
"95","Pimelea humilis"
"96","Arthropodium milleflorum"
"97","Comesperma volubile"
"98","Gamochaeta purpurea"
"99","Wahlenbergia gracilis"
"100","Brachyscome spp."
"101","Arthropodium minus"
"102","Burchardia umbellata"
"103","Stellaria media"
"104","Astroloma humifusum"
"105","Elymus repens???"
"106","Dianella revoluta s.l."
"107","Veronica spp"
"108","Cirsium vulgare"
"109","Clematis microphylla"
"110","Medicago spp."
"111","Solanum nigrum"
"112","Thysanotus patersonii"
"113","Lomandra glauca"
"114","Holcus lanatus"
"115","Isolepsis marginata"
"116","Gamochaeta sp"
"117","Senecio quadridentatus"
"118","Gahnia radula"
"119","Pterostylis pedunculata"
"120","Acaena novae-zelan"
"121","Asperula spp."
"122","Schoenus apogon"
"123","Carex breviculmis"
"124","Dactylis glomerata"
"125","Cassinia aculata"
"126","Dillwynia glaberrima"
"127","Pterostylis concinna"
"128","Linaria pelisseriana"
"129","Solanum sp."
"130","Standing dead timber"
"131","Juncus bufonis"
"132","Galium sp"
"133","Juncus pallidus"
"134","Lolium perenne"
"135","Sporobolus sp."
"136","Eragrostis sp. (Native)"
"137","Ranunculus pimelo sp pimelo"
"138","Trifolium repens"
"139","Bursaria spinosa"
"140","Solenogyne sp."
"141","Elymus seaber"
"142","Carpobrotus spp."
"143","Poaceae"
"144","Acetosella vulgaris"
"145","Centrolepsis strigosa"
"146","Rumex sp."
"147","Kunzea ericoides"
"148","Viola betonicifolia"
"149","Solenogyne dominii"
"150","Viola sp."
"151","Plantago coronopus"
"152","Wurmbea dioica"
"153","Opercularia varia"
"154","Sonchus oleraceus"
"155","Rytidosperma pencilata"
"156","Acacia mearnsii"
"157","Petrorhagia dubia"
"158","MoSs/Lichen"
"159","Acacia melanoxylon"
"160","Acacia implexa"
"161","Viola hederaceae"
"162","Cassinia longifolia"
"163","Wahlenbergia gracilenta"
"164","Lolium spp."
"165","Tricoryne sp."
"166","Microtis sp."
"167","Dianella caerulea"
"168","Petrorhagia spp."
"169","Mentha australis"
"170","Exocarpus cupressiformis"
"171","Cyperus spp"
"172","Juncus subsecundus"
"173","Centella cordifolia"
"174","Acaena ovina"
"175","Lobelia spp."
"176","Veronica plebeia"
"177","Asteraceae"
"178","Phalaris spp."
